Top-5 f2-score average

#######label 0
val 1: 0.449849
val 2: 0.456887
val 3: 0.324464
val 4: 0.255491
val 5: 0.463986

#######label 1
val 1: 0.695182
val 2: 0.679106
val 3: 0.669364
val 4: 0.664179
val 5: 0.668086

#######label 2
val 1: 0.982080
val 2: 0.982358
val 3: 0.982162
val 4: 0.982756
val 5: 0.982402

#######label 3
val 1: 0.387351
val 2: 0.406883
val 3: 0.525283
val 4: 0.496098
val 5: 0.511186

#######label 4
val 1: 0.827762
val 2: 0.826970
val 3: 0.830558
val 4: 0.827881
val 5: 0.827836

#######label 5
val 1: 0.761171
val 2: 0.755020
val 3: 0.757544
val 4: 0.756310
val 5: 0.760512

#######label 6
val 1: 0.376282
val 2: 0.292186
val 3: 0.295213
val 4: 0.398165
val 5: 0.442712

#######label 7
val 1: 0.501894
val 2: 0.531738
val 3: 0.499557
val 4: 0.479537
val 5: 0.483966

#######label 8
val 1: 0.980860
val 2: 0.980965
val 3: 0.980426
val 4: 0.980300
val 5: 0.980542

#######label 9
val 1: 0.636274
val 2: 0.639335
val 3: 0.639822
val 4: 0.638804
val 5: 0.642758

#######label 10
val 1: 0.772616
val 2: 0.779996
val 3: 0.762620
val 4: 0.776562
val 5: 0.777931

#######label 11
val 1: 0.568465
val 2: 0.537560
val 3: 0.519763
val 4: 0.536326
val 5: 0.529554

#######label 12
val 1: 0.418890
val 2: 0.501468
val 3: 0.420667
val 4: 0.386124
val 5: 0.588060
