Top-5 f2-score average

#######label 0
val 1: 0.532581
val 2: 0.466126
val 3: 0.396319
val 4: 0.478181
val 5: 0.465371

#######label 1
val 1: 0.697182
val 2: 0.685410
val 3: 0.677847
val 4: 0.673389
val 5: 0.667073

#######label 2
val 1: 0.982095
val 2: 0.982362
val 3: 0.982309
val 4: 0.982808
val 5: 0.982402

#######label 3
val 1: 0.395129
val 2: 0.424321
val 3: 0.554159
val 4: 0.519901
val 5: 0.508151

#######label 4
val 1: 0.828083
val 2: 0.828544
val 3: 0.834374
val 4: 0.828608
val 5: 0.828137

#######label 5
val 1: 0.764115
val 2: 0.756028
val 3: 0.761756
val 4: 0.759035
val 5: 0.761032

#######label 6
val 1: 0.411104
val 2: 0.336967
val 3: 0.409943
val 4: 0.452488
val 5: 0.436070

#######label 7
val 1: 0.505115
val 2: 0.534475
val 3: 0.506230
val 4: 0.489854
val 5: 0.483966

#######label 8
val 1: 0.980800
val 2: 0.981000
val 3: 0.980608
val 4: 0.980377
val 5: 0.980529

#######label 9
val 1: 0.642011
val 2: 0.639339
val 3: 0.648392
val 4: 0.642128
val 5: 0.642758

#######label 10
val 1: 0.786386
val 2: 0.788078
val 3: 0.774898
val 4: 0.785792
val 5: 0.777931

#######label 11
val 1: 0.570486
val 2: 0.539085
val 3: 0.534568
val 4: 0.535837
val 5: 0.529554

#######label 12
val 1: 0.480234
val 2: 0.604769
val 3: 0.508246
val 4: 0.487395
val 5: 0.593973
